,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset
ABOITIZ POWER CORP,1,3/29/19,0,1.17,0.0609,0.0085,22.67,28.77,203895.24,0.00,0,188.13,16.03,14.71,58.26
ABOITIZ POWER CORP,2,6/28/19,0,1.32,0.0099,-0.0169,26.83,25.13,200592.25,-2.77,10.98,179.35,16.56,15.65,57.33
ABOITIZ POWER CORP,3,9/30/19,1,1.18,-0.0276,0.102,21.4,22.79,195662.76,0.00,0,174.42,17.06,12.5,56.79
ABOITIZ POWER CORP,4,12/27/19,0,1.31,0.0047,-0.1082,21.7,24.04,195406.2,-0.69,14.81,189.75,16.14,7.39,57.19
ABOITIZ POWER CORP,1,3/31/20,1,1.16,-0.3191,-0.231,19.82,21.82,200046.69,4.95,13.04,186.75,16.23,6.67,57.72
ABOITIZ POWER CORP,2,6/30/20,0,1.15,0.1666,0.0266,29.33,21.31,194707.8,-0.04,13.78,180.87,16.48,11.63,57.6
ABOITIZ POWER CORP,3,9/30/20,1,0.99,-0.0553,-0.0537,28.98,22.14,189628.18,0.00,0,169.65,17.28,18.56,57.38
ABOITIZ POWER CORP,4,12/29/20,0,0.97,0.2175,0.0391,25.57,23.31,187844.25,12.22,16.65,173.59,17.44,23,57.89
ABOITIZ POWER CORP,1,3/31/21,0,0.94,-0.0976,-0.1149,18.55,23.66,185258.61,13.31,16.69,160.55,18.25,11.81,56.02
ABOITIZ POWER CORP,2,6/30/21,0,1.18,0.0712,0.0404,24.13,22.25,181303.77,15.30,13.06,138.96,19.92,16.7,52.8
ABOITIZ POWER CORP,3,9/30/21,1,1.09,0.0074,0.2679,17.44,20.51,177307.16,5.99,12.91,150.69,20.11,12.64,54.85
ABOITIZ POWER CORP,4,12/31/21,0,1.29,0.0244,-0.0419,16.83,19.95,185265.77,6.26,10.34,155.24,19.87,8.06,55.51
ABOITIZ POWER CORP,1,3/31/22,1,1.24,0.0113,0.2121,20.41,20.85,188238.23,6.74,14.15,141.96,21.8,15.15,52.9
ABOITIZ POWER CORP,2,6/30/22,0,1.36,-0.1455,-0.1806,19.7,20.82,192284.8,5.11,14.64,128.2,23.38,17.92,50.82
ABOITIZ POWER CORP,3,9/30/22,1,1.32,-0.0673,0.0441,6.42,18.8,183632.95,0.00,0,139.43,22.98,13.81,52.03
ABOITIZ POWER CORP,4,12/29/22,0,1.44,0.1438,0.1055,14.19,20.08,188017.17,7.42,11.21,147.14,21.66,15.44,53.19
ABOITIZ POWER CORP,1,3/31/23,1,1.48,-0.0102,0.0925,17.18,18.76,193326.15,6.77,10.96,135.69,23.12,17.89,51.74
ABOITIZ POWER CORP,2,6/30/23,1,1.31,-0.0049,0.0336,16.01,16.21,188523.78,0.00,0,127.8,24.46,18.44,50.34
ALLIANCE GLOBAL GROUP INC,4,12/29/16,0,1.55,-0.1034,-0.1962,22.51,23.08,84444.07,-22.10,26.39,61.91,14.68,10.78,30.33
ALLIANCE GLOBAL GROUP INC,1,3/31/17,0,1.69,0.0689,-0.0078,22.35,22.07,90989.77,-39.16,22.74,73.82,14.99,9.87,34.31
ALLIANCE GLOBAL GROUP INC,2,6/30/17,1,1.81,0.0727,0.1278,21.68,20.9,96461.09,0.00,0,66.77,15.31,10.64,31.97
ALLIANCE GLOBAL GROUP INC,3,9/29/17,1,1.71,0.0419,0.1217,22.64,19.44,110914.27,0.00,0,64.61,15.98,13.15,33.08
ALLIANCE GLOBAL GROUP INC,4,12/29/17,0,1.52,0.0474,-0.0025,23.72,19.35,112285.41,0.00,0,65.06,16.58,10.82,31.54
ALLIANCE GLOBAL GROUP INC,1,3/28/18,0,1.09,-0.0676,-0.175,23.89,19.72,107567.44,0.00,0,59.43,16.87,12.03,29.89
ALLIANCE GLOBAL GROUP INC,2,6/29/18,0,1.15,-0.0985,-0.1197,21.68,19.73,121430.11,0.00,0,61.54,17.33,11.7,30.59
ALLIANCE GLOBAL GROUP INC,3,9/28/18,1,1.07,0.0116,0.074,13.44,18.08,136246.31,0.00,0,66.84,17.37,6.55,33.02
ALLIANCE GLOBAL GROUP INC,4,12/28/18,0,1.37,0.026,-0.0465,21.54,18.1,136546.05,0.00,0,64.73,17.63,11.03,32.31
ALLIANCE GLOBAL GROUP INC,1,3/29/19,1,1.29,0.0609,0.358,22.05,18.23,138416.31,0.00,0,64.58,17.81,9.16,32.21
ALLIANCE GLOBAL GROUP INC,2,6/28/19,0,0.94,0.0099,-0.0446,22.29,18.7,146713.88,-5.22,31.36,69.11,18.45,10.97,33.56
ALLIANCE GLOBAL GROUP INC,3,9/30/19,0,1,-0.0276,-0.294,14.75,19.72,157962.69,0.00,0,74.48,18.26,9.58,34.33
ALLIANCE GLOBAL GROUP INC,4,12/27/19,1,0.87,0.0047,0.0697,18.43,18.46,156813.57,-1.47,49,74.17,18.5,7.96,34.34
ALLIANCE GLOBAL GROUP INC,1,3/31/20,0,0.73,-0.3191,-0.4014,9.25,14.5,156302.48,4.80,40.01,72.5,18.56,3.7,33.5
ALLIANCE GLOBAL GROUP INC,2,6/30/20,0,0.79,0.1666,-0.0258,14.62,11.35,151740.11,-16.54,31.08,80,18.5,7.15,35.21
ALLIANCE GLOBAL GROUP INC,3,9/30/20,1,0.99,-0.0553,0.0294,8.41,8.91,153470.36,0.00,0,78.75,17.85,8.26,34.85
ALLIANCE GLOBAL GROUP INC,4,12/29/20,1,1.09,0.2175,0.5143,18.05,8.09,154925.26,-1.46,14.67,77.06,19.24,8.31,34.43
ALLIANCE GLOBAL GROUP INC,1,3/31/21,1,0.98,-0.0976,0.0038,23.49,11,152081.85,-1.94,21.3,73.94,19.85,17.96,34.03
ALLIANCE GLOBAL GROUP INC,2,6/30/21,0,0.98,0.0712,-0.0451,17.52,12.13,154648.37,16.56,23.41,73.81,20.35,9.56,33.94
