Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/30/19,0,3.5,-0.027581,-0.035454545,15.5888,22.7621,267960.969,0,0,153.9284,29.287,9.8398,54.5135,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/27/19,0,3.39,0.004652227,-0.029217719,18.8216,20.3091,267448.69,-6.138,11.6192,146.8705,30.3319,13.5766,53.6005,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/31/20,1,3.59,-0.3191231,-0.267961165,16.2813,18.5977,264165.773,0,0,143.0007,31.331,12.9578,52.7868,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/30/20,1,3.73,0.166594941,0.206896552,14.3972,19.0668,263666.667,-12.8304,15.2957,161.4423,30.2792,4.4484,54.7628,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/30/20,1,3.98,-0.055332715,0.010989011,13.2333,17.8083,268457.723,-3.7062,11.6954,161.3995,30.487,4.3731,55.024,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/29/20,0,3.37,0.217501701,0.027173913,18.964,16.5032,266057.659,-6.7931,11.0466,154.2709,31.2451,10.3988,54.4635,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/31/21,0,2.72,-0.097569789,-0.26984127,21.6852,17.5076,263213.938,0,0,147.6479,32.5142,14.047,54.1964,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/30/21,1,3.1,0.071211174,0.22173913,17.1038,18.3821,264398.67,3.852,16.9213,147.8023,33.2396,18.3748,54.3091,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/30/21,1,3.54,0.007384912,0.153024911,12.5478,18.4953,271531.884,8.2066,14.2355,139.4749,34.3995,8.8024,52.7807,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,4,12/31/21,1,3.84,0.024414343,0.12037037,16.6404,18.4063,268612.865,8.7162,12.7989,127.524,36.3519,10.907,50.5895,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,1,3/31/22,1,4.07,0.01134974,0.092745638,13.4603,15.4772,186829.755,17.1868,10.7974,104.1443,43.4581,10.3925,46.5304,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,2,6/30/22,0,3.81,-0.145490993,-0.200840336,11.995,15.1958,227748.52,20.6381,9.7422,103.1763,43.0532,6.3023,46.1898,,,,,,,,,,
ABOITIZ EQUITY VENTURES INC,3,9/30/22,1,4.55,-0.067316174,0.128286015,15.1838,16.6551,268999.256,20.0279,13.7367,101.8617,44.0362,10.7185,45.888,,,,,,,,,,
