Company,Q Number,Quarters,Performance,Weights,Index Returns,Returns,Operating Margins,ROE,ROA,Dividend Yield,Earnings Yield,Debt to Equity,Book Value Per Share,Profit Margin,Total Debt to Total Asset,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/28/18,0,5.23,0.011557367,-0.058757062,32.8662,13.6275,-247556.579,0,0,21.9589,48.8569,25.4612,2.8022,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/28/18,1,5.76,0.026000368,0.128451381,40.0225,13.6845,-182400.837,0,0,41.0703,50.128,30.4261,5.2125,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/29/19,0,4.86,0.060930723,-0.104255319,39.8214,13.8935,-145354,0,0,67.9376,50.656,30.7494,8.1952,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/28/19,0,4.48,0.009945802,-0.067695962,39.1222,13.7969,-162971.434,0,0,54.5604,52.354,29.5046,6.8119,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/30/19,1,5.45,-0.027581,0.184713376,39.9227,13.5604,-147820.681,0,0,53.0892,52.9181,30.3438,6.5441,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/27/19,0,5.14,0.004652227,-0.05483871,44.6012,14.4792,-122485.348,-10.0337,8.669,57.6661,54.5424,33.0417,7.3571,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/31/20,1,5.23,-0.3191231,-0.296928328,42.4184,14.8065,-146244,0,0,56.3238,54.8915,31.8548,6.9742,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/30/20,0,5.25,0.166594941,0.165048544,34.2723,14.3071,-172332.447,5.0805,13.6027,53.0281,55.4529,25.8728,6.6807,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/30/20,0,4.92,-0.055332715,-0.111111111,18.8741,12.5302,-237431.508,3.4987,10.3943,49.1525,56.6949,19.6687,6.1374,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/29/20,1,5.15,0.217501701,0.27109375,28.2355,10.7047,-164481.268,3.7006,10.2197,54.4512,57.7156,22.315,7.096,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/31/21,1,5.7,-0.097569789,0.001843884,20.5332,9.3806,-178133,0,0,54.4189,56.9041,16.4774,6.87,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/30/21,1,5.8,0.071211174,0.088343558,36.5586,9.4665,-154780.444,5.8597,7.1222,47.0723,57.0938,20.5753,6.1519,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/30/21,0,5.26,0.007384912,-0.081736189,36.256,10.5382,-185167.277,3.5797,7.4322,46.0293,58.1265,28.6254,6.0858,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/31/21,1,5.77,0.024414343,0.131368938,31.3232,10.4866,-285900.954,19.4201,8.2052,32.3467,59.3382,24.0702,4.2054,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,1,3/31/22,1,6.05,0.01134974,0.080846446,33.5711,11.7079,-273402,15.5755,8.0642,32.5225,59.5931,24.8429,3.9635,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,2,6/30/22,0,6.04,-0.145490993,-0.148594378,40.5143,12.0279,-178341.921,6.8368,7.77,36.6846,60.9995,31.4812,4.6604,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,3,9/30/22,1,6.74,-0.067316174,0.055424528,51.1693,14.514,-208163.255,15.6067,11.1863,27.1294,61.833,38.6088,3.3714,,,,,,,,,,
BANK OF THE PHILIPPINE ISLAN,4,12/29/22,0,6.74,0.143757174,0.139664804,43.8506,16.0358,-181873.868,4.4961,12.013,28.0699,63.7237,33.872,3.5016,,,,,,,,,,
BDO UNIBANK INC,4,12/29/16,1,5.65,-0.103423057,0.020947177,29.0954,16.8854,-284817,4.0868,7.9517,40.9311,45.7447,23.0457,3.9939,,,,,,,,,,
BDO UNIBANK INC,1,3/31/17,0,6.53,0.068864902,0.049063336,31.055,16.3758,-300149,0,0,46.2201,46.1765,25.6337,4.325,,,,,,,,,,
BDO UNIBANK INC,2,6/30/17,0,6.49,0.072683308,0.054421769,25.3317,14.1739,-358451,-7.976,7.0225,32.5041,52.7675,19.5383,3.8307,,,,,,,,,,
BDO UNIBANK INC,3,9/29/17,1,6.54,0.041854304,0.054032258,29.5955,13.543,-297299,-12.0077,6.327,36.7905,54.0691,23.2587,4.3067,,,,,,,,,,
BDO UNIBANK INC,4,12/29/17,1,7.89,0.047358908,0.254781943,29.1738,14.0308,-327281,0,0,45.3778,55.1009,21.639,5.1045,,,,,,,,,,
BDO UNIBANK INC,1,3/28/18,0,7.08,-0.067604768,-0.152439024,31.9253,14.9035,-314364,0,0,43.7367,55.7602,22.4338,4.8905,,,,,,,,,,
BDO UNIBANK INC,2,6/29/18,1,6.94,-0.098517136,-0.097122302,24.6516,13.383,-311438,0,0,50.4937,56.0073,17.7655,5.4073,,,,,,,,,,
BDO UNIBANK INC,3,9/28/18,0,6.54,0.011557367,-0.045418327,28.8076,13.4153,-324731,0,0,47.3685,56.7456,20.3715,4.9961,,,,,,,,,,
BDO UNIBANK INC,4,12/28/18,1,6.96,0.026000368,0.091819699,30.1429,13.7938,-299799,0,0,47.5734,58.2844,21.7516,5.0766,,,,,,,,,,
BDO UNIBANK INC,1,3/29/19,0,6.71,0.060930723,0.02293578,32.8205,14.204,-319550,0,0,43.7676,61.389,26.9847,4.7522,,,,,,,,,,
BDO UNIBANK INC,2,6/28/19,1,6.94,0.009945802,0.046337818,30.4845,15.4854,-247830,0,0,54.8647,63.3278,22.9168,6.1598,,,,,,,,,,
BDO UNIBANK INC,3,9/30/19,1,7.29,-0.027581,0.021428571,31.8459,16.2583,-238222,0,0,50.3854,65.495,23.7013,5.7668,,,,,,,,,,
BDO UNIBANK INC,4,12/27/19,1,8.03,0.004652227,0.104895105,33.7104,16.9251,-232377,-2.9502,8.885,49.0012,67.9609,25.9052,5.7688,,,,,,,,,,
BDO UNIBANK INC,1,3/31/20,0,7.62,-0.3191231,-0.344936709,35.185,17.2556,-222539,0,0,51.1613,69.1911,25.4903,5.9456,,,,,,,,,,
BDO UNIBANK INC,2,6/30/20,0,6.21,0.166594941,-0.053140097,28.3395,16.9518,-258478,-1.2394,13.1127,53.3661,69.4853,19.1774,6.0435,,,,,,,,,,
BDO UNIBANK INC,3,9/30/20,0,5.76,-0.055332715,-0.119897959,-0.5036,12.7579,-336747,0.3033,10.5432,48.7844,68.5729,-9.3585,5.4035,,,,,,,,,,
BDO UNIBANK INC,4,12/29/20,1,5.88,0.217501701,0.23826087,35.8791,12.5685,-296586,-4.4931,12.198,51.8371,70.6854,26.9503,5.9326,,,,,,,,,,
BDO UNIBANK INC,1,3/31/21,1,6.2,-0.097569789,-0.04494382,48.8607,12.2738,-227331,0,0,56.3443,73.4688,33.6167,6.5615,,,,,,,,,,
BDO UNIBANK INC,2,6/30/21,1,6.43,0.071211174,0.109803922,28.2564,12.2349,-335870,-3.0135,10.4648,51.6961,74.9122,21.924,6.1021,,,,,,,,,,
BDO UNIBANK INC,3,9/30/21,0,6.21,0.007384912,-0.022968198,27.8256,15.5785,-270674,-5.1368,12.0814,49.4387,77.1393,23.6038,5.8922,,,,,,,,,,
BDO UNIBANK INC,4,12/31/21,1,6.57,0.024414343,0.091320072,29.8897,14.6318,-255863,-1.4909,11.9311,49.3087,78.9685,23.0088,5.8758,,,,,,,,,,
BDO UNIBANK INC,1,3/31/22,1,7,0.01134974,0.09942005,44.8717,13.8702,-227585,3.9208,10.5574,50.9997,79.387,30.8564,5.975,,,,,,,,,,
BDO UNIBANK INC,2,6/30/22,0,6.84,-0.145490993,-0.16729465,29.649,14.04,-239290,-3.4177,9.8824,56.1831,80.3919,23.2013,6.5798,,,,,,,,,,
BDO UNIBANK INC,3,9/30/22,1,7.3,-0.067316174,0.009049774,30.0378,14.5048,-270409,2.9976,12.4905,49.2811,80.9214,22.9707,5.6105,,,,,,,,,,
BDO UNIBANK INC,4,12/29/22,0,7.29,0.143757174,-0.052017937,34.8402,15.4897,-283543,11.0423,13.5541,41.1717,83.1116,27.8941,4.739,,,,,,,,,,
DMCI HOLDINGS INC,4,12/29/16,1,1.55,-0.103423057,0.099502488,31.2831,25.2106,22810.474,-0.4977,9.8221,50.1728,4.9037,21.8095,26.1406,,,,,,,,,,
DMCI HOLDINGS INC,1,3/31/17,0,1.21,0.068864902,-0.140271493,19.6045,27.0225,18147.263,0,0,44.0451,5.1211,12.7433,23.6646,,,,,,,,,,
DMCI HOLDINGS INC,2,6/30/17,1,1.43,0.072683308,0.236842105,34.8883,30.3194,15696.185,3.6443,13.705,46.6773,5.3698,21.6023,24.354,,,,,,,,,,
DMCI HOLDINGS INC,3,9/29/17,1,1.51,0.041854304,0.106382979,29.6721,32.0969,22933.462,4.2631,11.3625,45.5052,5.2732,19.6466,24.6299,,,,,,,,,,
DMCI HOLDINGS INC,4,12/29/17,0,1.32,0.047358908,-0.076923077,27.4744,31.8335,22496.822,0,0,44.5445,5.6027,19.0602,24.1112,,,,,,,,,,
DMCI HOLDINGS INC,1,3/28/18,0,1.2,-0.067604768,-0.155555556,17.3631,30.4591,14184.908,0,0,42.2072,5.7513,14.2582,22.995,,,,,,,,,,
DMCI HOLDINGS INC,2,6/29/18,0,1.14,-0.098517136,-0.136513158,32.3392,30.257,13226.899,0,0,45.0077,5.5857,20.9314,23.3425,,,,,,,,,,
DMCI HOLDINGS INC,3,9/28/18,1,1.23,0.011557367,0.083809524,24.5665,30.1324,20164.899,0,0,38.0379,5.9489,19.8547,21.4436,,,,,,,,,,
DMCI HOLDINGS INC,4,12/28/18,1,1.34,0.026000368,0.123022847,13.4741,24.1058,19324.946,0,0,38.2912,6.1198,11.9035,21.9697,,,,,,,,,,
DMCI HOLDINGS INC,1,3/29/19,0,1.19,0.060930723,-0.061032864,17.1914,23.8609,26039.368,0,0,42.7705,5.9155,13.454,22.7633,,,,,,,,,,
DMCI HOLDINGS INC,2,6/28/19,0,1.01,0.009945802,-0.141666667,17.9627,19.851,24811.58,0,0,42.6599,6.1319,13.9369,22.4835,,,,,,,,,,
DMCI HOLDINGS INC,3,9/30/19,0,0.84,-0.027581,-0.193203883,20.867,18.5855,30250.372,0,0,47.3885,5.9381,15.3197,24.1682,,,,,,,,,,
DMCI HOLDINGS INC,4,12/27/19,0,0.66,0.004652227,-0.204572804,13.6089,19.0546,30785.655,0.5358,14.0518,49.4905,6.1366,12.787,25.3932,,,,,,,,,,
DMCI HOLDINGS INC,1,3/31/20,0,0.55,-0.3191231,-0.429652042,18.1416,19.3211,25445.873,0,0,45.7454,6.2063,5.678,23.4297,,,,,,,,,,
DMCI HOLDINGS INC,2,6/30/20,0,0.51,0.166594941,0.087533156,2.6472,15.68,31820.92,-8.4712,24.7566,55.3038,5.7727,4.3648,25.3398,,,,,,,,,,
DMCI HOLDINGS INC,3,9/30/20,1,0.53,-0.055332715,-0.024390244,16.6113,11.7903,38104.886,-0.3055,16.9918,54.3307,5.8795,12.0642,26.4296,,,,,,,,,,
DMCI HOLDINGS INC,4,12/29/20,1,0.62,0.217501701,0.415,11.8806,10.3845,35673.065,8.0381,15.781,52.5772,6.0208,10.4024,25.7113,,,,,,,,,,
DMCI HOLDINGS INC,1,3/31/21,1,0.67,-0.097569789,-0.019434629,10.0521,8.3633,33039.323,0,0,51.3403,6.1492,8.1911,25.4205,,,,,,,,,,
DMCI HOLDINGS INC,2,6/30/21,1,0.71,0.071211174,0.133333333,21.9018,15.0088,32156.313,11.4936,15.904,51.84,5.9893,17.7849,24.002,,,,,,,,,,
DMCI HOLDINGS INC,3,9/30/21,1,0.79,0.007384912,0.128775835,20.8529,19.6209,36398.456,4.3673,19.1277,53.0837,6.3843,17.5818,25.9416,,,,,,,,,,
DMCI HOLDINGS INC,4,12/31/21,1,0.83,0.024414343,0.085915493,20.3205,22.7505,31687.26,3.019,20.3553,50.5258,6.6842,15.1467,25.473,,,,,,,,,,
DMCI HOLDINGS INC,1,3/31/22,1,0.94,0.01134974,0.171206226,27.5138,29.0303,34723.089,11.3637,24.02,48.7522,6.6095,17.3667,24.6648,,,,,,,,,,
DMCI HOLDINGS INC,2,6/30/22,1,1.08,-0.145490993,-0.023255814,40.9011,41.734,24491.198,8.1201,31.0737,43.4044,7.4575,25.7287,22.9131,,,,,,,,,,
DMCI HOLDINGS INC,3,9/30/22,1,1.28,-0.067316174,0.121315193,35.1121,47.5074,16454.766,11.4357,37.8174,41.9739,7.6577,23.9524,22.9433,,,,,,,,,,
DMCI HOLDINGS INC,4,12/29/22,1,1.36,0.143757174,0.213346815,33.7828,50.5879,12110.487,10.2079,38.0933,38.6537,8.2104,22.3493,21.9934,,,,,,,,,,
EMPERADOR INC,4,12/29/16,1,0.67,-0.103423057,-0.034482759,20.6446,18.0807,-2391.8177,-15.7054,7.3722,13.5892,2.948,15.5783,7.2645,,,,,,,,,,
EMPERADOR INC,1,3/31/17,0,0,0.068864902,0,26.4597,18.9889,19188.7663,0,0,56.224,3.2394,21.0928,31.1367,,,,,,,,,,
EMPERADOR INC,2,6/30/17,0,0,0.072683308,0,20.7675,19.2471,13111.706,1.5949,10.022,48.7716,3.1485,16.681,25.6602,,,,,,,,,,
EMPERADOR INC,3,9/29/17,0,0,0.041854304,0,17.9532,17.2771,17975.5872,2.181,7.3578,51.9906,3.2266,13.1645,28.2018,,,,,,,,,,
EMPERADOR INC,4,12/29/17,0,0,0.047358908,0,22.0371,18.0023,18876.2227,0,0,52.2145,3.3017,18.4507,28.2443,,,,,,,,,,
EMPERADOR INC,1,3/28/18,1,0,-0.067604768,0,17.3351,14.925,27967.5493,0,0,65.3765,3.5635,12.437,34.2039,,,,,,,,,,
EMPERADOR INC,2,6/29/18,1,0,-0.098517136,0,19.8094,14.8178,21745.1882,0,0,55.2286,3.7744,16.2652,29.0271,,,,,,,,,,
EMPERADOR INC,3,9/28/18,0,0,0.011557367,0,19.5507,15.2509,1560.1423,0,0,15.826,3.7268,16.4485,8.3655,,,,,,,,,,
EMPERADOR INC,4,12/28/18,0,0,0.026000368,0,20.8299,15.1625,27937.6865,0,0,55.2747,3.8848,17.605,29.6318,,,,,,,,,,
EMPERADOR INC,1,3/29/19,0,0,0.060930723,0,18.8847,15.6616,31836.6644,0,0,64.0011,3.783,9.2334,33.334,,,,,,,,,,
EMPERADOR INC,2,6/28/19,0,0,0.009945802,0,20.1165,15.3999,23720.8066,0,0,52.5343,4.0112,15.761,27.8396,,,,,,,,,,
EMPERADOR INC,3,9/30/19,1,0,-0.027581,0,17.0204,15.348,4691.5114,0,0,17.4422,4.0055,14.5083,9.4208,,,,,,,,,,
EMPERADOR INC,4,12/27/19,0,0,0.004652227,0,22.031,15.5151,26128.5584,1.0938,8.6884,49.4906,4.1521,16.3314,26.9016,,,,,,,,,,
EMPERADOR INC,1,3/31/20,1,0,-0.3191231,0,14.3351,14.9031,31501.165,0,0,60.6362,4.0495,8.1993,31.1326,,,,,,,,,,
EMPERADOR INC,2,6/30/20,0,0,0.166594941,0,17.4691,13.9317,26711.0693,4.976,7.0213,54.5188,4.1492,13.6754,30.1283,,,,,,,,,,
EMPERADOR INC,3,9/30/20,1,0,-0.055332715,0,20.9628,14.7759,28158.491,4.7979,7.1841,52.9898,4.1535,17.1764,29.1491,,,,,,,,,,
EMPERADOR INC,4,12/29/20,0,0,0.217501701,0,24.2694,15.1469,27672.6675,4.962,6.2515,53.1296,4.1847,19.6682,29.5129,,,,,,,,,,
EMPERADOR INC,1,3/31/21,1,0,-0.097569789,0,14.7237,15.3136,27673.2685,0,0,52.3823,4.2216,11.4229,28.817,,,,,,,,,,
EMPERADOR INC,2,6/30/21,0,0,0.071211174,0,21.7768,16.365,24815.6169,4.1221,6.6612,51.3291,4.103,17.2557,27.773,,,,,,,,,,
EMPERADOR INC,3,9/30/21,0,0,0.007384912,0,33.8998,19.3803,26303.1303,5.0286,6.4079,47.0487,4.3852,22.632,26.4883,,,,,,,,,,
EMPERADOR INC,4,12/31/21,0,0,0.024414343,0,22.4686,18.7652,25125.3054,3.7306,4.5673,45.5185,4.4913,16.6999,25.9817,,,,,,,,,,
EMPERADOR INC,1,3/31/22,0,0,0.01134974,0,20.6378,18.9571,16597.3031,3.727,4.1514,32.9458,4.9387,15.4276,20.1798,,,,,,,,,,
EMPERADOR INC,2,6/30/22,1,0,-0.145490993,0,21.3761,18.6025,13982.0122,3.9174,6.1623,33.3198,5.1144,17.0136,20.2882,,,,,,,,,,
EMPERADOR INC,3,9/30/22,1,0,-0.067316174,0,24.8394,17.2529,11834.1147,1.8572,4.343,29.6278,5.2621,19.9701,18.4584,,,,,,,,,,
EMPERADOR INC,4,12/29/22,0,0,0.143757174,0,17.5797,16.2714,11460.8757,1.3214,4.1812,27.5843,5.4546,13.3475,17.6149,,,,,,,,,,
FIRST GEN CORPORATION,4,12/29/16,0,0.84,-0.103423057,-0.121756487,32.324,30.431,2050.293,13.1902,25.899,136.1536,0.439,16.3946,51.4611,,,,,,,,,,
FIRST GEN CORPORATION,1,3/31/17,0,0.68,0.068864902,-0.047727273,31.0434,31.8918,2151.745,0,0,128.1668,0.4353,6.6685,50.633,,,,,,,,,,
FIRST GEN CORPORATION,2,6/30/17,0,0.64,0.072683308,-0.097852029,32.8783,30.5177,2020.159,21.7237,32.9286,125.9163,0.4428,9.6317,50.0226,,,,,,,,,,
FIRST GEN CORPORATION,3,9/29/17,0,0.61,0.041854304,0.001058201,26.7645,30.536,2024.305,0.9515,36.663,134.7355,0.4419,3.9262,52.1103,,,,,,,,,,
FIRST GEN CORPORATION,4,12/29/17,0,0.52,0.047358908,-0.101479915,22.1328,27.6969,1729.912,0,0,117.4975,0.4869,10.0267,48.9687,,,,,,,,,,
FIRST GEN CORPORATION,1,3/28/18,1,0.56,-0.067604768,0,22.6429,26.2259,1805.869,0,0,101.9682,0.4952,7.8146,45.6781,,,,,,,,,,
FIRST GEN CORPORATION,2,6/29/18,0,0.52,-0.098517136,-0.149411765,25.7783,25.0249,1686.602,0,0,100.6445,0.4898,8.446,45.2455,,,,,,,,,,
FIRST GEN CORPORATION,3,9/28/18,1,0.6,0.011557367,0.159059474,24.339,25.4233,1581.164,0,0,96.524,0.4896,9.1687,44.337,,,,,,,,,,
FIRST GEN CORPORATION,4,12/28/18,1,0.7,0.026000368,0.192124105,26.6699,27.1282,1576.268,0,0,97.9852,0.465,13.245,44.5536,,,,,,,,,,
FIRST GEN CORPORATION,1,3/29/19,1,0.72,0.060930723,0.091091091,24.8143,27.924,1650.781,0,0,97.8783,0.4962,13.5848,43.9286,,,,,,,,,,
FIRST GEN CORPORATION,2,6/28/19,1,0.87,0.009945802,0.229357798,29.7092,29.5038,1508.115,0,0,89.889,0.5139,15.1898,41.9855,,,,,,,,,,
FIRST GEN CORPORATION,3,9/30/19,0,0.82,-0.027581,-0.082089552,26.309,30.6401,1434.539,0,0,82.0835,0.5339,14.7213,39.465,,,,,,,,,,
FIRST GEN CORPORATION,4,12/27/19,0,0.8,0.004652227,-0.018292683,22.6342,30.1281,1310.568,44.0926,32.5483,80.5891,0.5456,10.7621,39.7387,,,,,,,,,,
FIRST GEN CORPORATION,1,3/31/20,1,0.8,-0.3191231,-0.316770186,22.0928,28.3314,1279.833,0,0,74.6503,0.5717,14.1737,37.1339,,,,,,,,,,
FIRST GEN CORPORATION,2,6/30/20,1,1.02,0.166594941,0.484848485,29.0462,26.3719,1176.632,38.3057,45.2532,72.0203,0.5852,13.5337,36.6005,,,,,,,,,,
FIRST GEN CORPORATION,3,9/30/20,1,1.02,-0.055332715,-0.046938776,27.5152,24.2718,1142.003,13.9556,28.4038,69.5478,0.6028,14.8093,35.4882,,,,,,,,,,
FIRST GEN CORPORATION,4,12/29/20,0,1.01,0.217501701,0.205567452,26.8453,23.4283,993.18,6.9989,29.027,70.9131,0.6322,14.8574,37.1641,,,,,,,,,,
FIRST GEN CORPORATION,1,3/31/21,1,1.2,-0.097569789,0.069271758,32.5131,24.2435,1133.797,0,0,66.2902,0.6498,17.071,34.3274,,,,,,,,,,
FIRST GEN CORPORATION,2,6/30/21,0,1.12,0.071211174,-0.003322259,31.7712,24.7768,1017.26,12.5982,24.7317,63.5691,0.6378,17.3977,34.2234,,,,,,,,,,
FIRST GEN CORPORATION,3,9/30/21,1,1.25,0.007384912,0.131666667,21.1213,24.0562,917.014,9.8561,24.7535,63.7569,0.6447,10.941,33.5907,,,,,,,,,,
FIRST GEN CORPORATION,4,12/31/21,0,0.99,0.024414343,-0.179675994,22.198,23.909,845.956,13.7956,23.241,61.8264,0.6436,12.1262,33.2934,,,,,,,,,,
FIRST GEN CORPORATION,1,3/31/22,0,0.91,0.01134974,-0.052064632,15.6562,20.6546,883.908,13.8337,24.9989,58.3962,0.6541,7.9934,31.5485,,,,,,,,,,
FIRST GEN CORPORATION,2,6/30/22,0,0.69,-0.145490993,-0.359848485,21.2775,19.287,877.01,1.8804,24.9008,57.9661,0.6661,11.0001,31.6796,,,,,,,,,,
FIRST GEN CORPORATION,3,9/30/22,1,0.7,-0.067316174,-0.036686391,17.4033,19.5382,729.111,8.2157,41.2745,58.0249,0.6473,8.4702,30.93,,,,,,,,,,
FIRST GEN CORPORATION,4,12/29/22,0,0.64,0.143757174,0.040540541,20.1948,21.1464,769.398,10.3782,47.9933,59.411,0.6117,9.046,31.9026,,,,,,,,,,
GLOBE TELECOM INC,4,12/29/16,0,1.32,-0.103423057,-0.260294118,19.2932,40.6916,83039.44,-4.1825,8.9553,145.802,447.8687,8.9155,37.9034,,,,,,,,,,
GLOBE TELECOM INC,1,3/31/17,1,1.66,0.068864902,0.346587144,19.7945,44.8446,97095.739,0,0,166.5639,456.9022,12.7647,42.3146,,,,,,,,,,
GLOBE TELECOM INC,2,6/30/17,0,1.73,0.072683308,0.007874016,20.5053,43.5121,99872.776,-9.123,9.8028,168.2214,462.3867,11.4531,42.7811,,,,,,,,,,
GLOBE TELECOM INC,3,9/29/17,0,1.66,0.041854304,0.000976563,20.9444,42.3003,114061.74,-8.2159,9.6422,189.4077,469.5357,12.8367,46.8191,,,,,,,,,,
GLOBE TELECOM INC,4,12/29/17,0,1.45,0.047358908,-0.073170732,18.7084,42.3047,119025.895,0,0,190.2498,483.1512,14.4505,47.2868,,,,,,,,,,
GLOBE TELECOM INC,1,3/28/18,0,1.33,-0.067604768,-0.146315789,19.1278,42.4126,120306.485,0,0,197.616,479.1245,5.9702,47.3523,,,,,,,,,,
GLOBE TELECOM INC,2,6/29/18,1,1.44,-0.098517136,-0.050554871,23.484,45.6842,121545.708,0,0,196.3557,468.5306,12.6809,46.6673,,,,,,,,,,
GLOBE TELECOM INC,3,9/28/18,1,2.03,0.011557367,0.428571429,24.4014,47.78,123398.042,0,0,198.6694,485.3824,14.0958,47.8732,,,,,,,,,,
GLOBE TELECOM INC,4,12/28/18,0,1.71,0.026000368,-0.136363636,23.2952,49.8118,121953.458,0,0,192.5253,501.4818,12.9701,47.6572,,,,,,,,,,
GLOBE TELECOM INC,1,3/29/19,0,1.64,0.060930723,0.02,18.9259,49.9403,125055.511,0,0,202.7274,527.4722,9.7305,49.5101,,,,,,,,,,
GLOBE TELECOM INC,2,6/28/19,1,1.9,0.009945802,0.167182663,29.0135,53.6043,125168.965,0,0,184.2907,555.2996,16.568,47.7942,,,,,,,,,,
GLOBE TELECOM INC,3,9/30/19,0,1.58,-0.027581,-0.190981432,24.6452,53.2738,123626.536,0,0,171.6616,569.2989,13.0014,45.9281,,,,,,,,,,
GLOBE TELECOM INC,4,12/27/19,1,1.74,0.004652227,0.103825137,24.1699,53.6268,123645.983,6.0649,16.2072,166.4908,586.7371,13.4493,44.9895,,,,,,,,,,
GLOBE TELECOM INC,1,3/31/20,1,2.4,-0.3191231,-0.044554455,19.992,53.9509,131228.26,0,0,171.7311,585.9009,10.606,45.853,,,,,,,,,,
GLOBE TELECOM INC,2,6/30/20,0,2.22,0.166594941,0.07253886,27.9931,51.1963,133995.309,3.2344,15.7079,175.5699,610.4926,15.9771,46.6769,,,,,,,,,,
GLOBE TELECOM INC,3,9/30/20,1,2.35,-0.055332715,0.004830918,22.4391,48.3197,139354.317,2.2047,14.0514,180.8363,614.2567,13.031,47.4423,,,,,,,,,,
GLOBE TELECOM INC,4,12/29/20,0,1.89,0.217501701,-0.024038462,21.1796,45.4596,135314.929,-6.8253,13.4447,194.3153,622.8889,10.7562,48.8373,,,,,,,,,,
GLOBE TELECOM INC,1,3/31/21,1,1.93,-0.097569789,-0.073891626,9.7653,40.7339,149808.708,0,0,204.4779,595.6441,6.6173,49.8313,,,,,,,,,,
GLOBE TELECOM INC,2,6/30/21,0,1.77,0.071211174,-0.021276596,21.0116,35.6972,158948.833,-3.8939,11.9975,197.2656,633.2217,17.0536,49.1394,,,,,,,,,,
GLOBE TELECOM INC,3,9/30/21,1,2.84,0.007384912,0.62173913,23.0613,36.7331,174723.251,-7.551,12.7126,213.339,638.3735,13.6668,50.4253,,,,,,,,,,
GLOBE TELECOM INC,4,12/31/21,1,3.06,0.024414343,0.113270777,21.0352,38.5909,208770.18,-3.4152,7.8683,276.2994,574.9928,11.7673,53.2494,,,,,,,,,,
GLOBE TELECOM INC,1,3/31/22,0,2.27,0.01134974,-0.235400361,11.1569,33.2424,205693.72,-12.11,7.2334,200.9976,827.03,13.5878,50.1533,,,,,,,,,,
GLOBE TELECOM INC,2,6/30/22,1,2.37,-0.145490993,-0.107086614,18.8052,30.066,225749.268,-16.5774,9.2175,193.5464,899.943,31.3271,49.9632,,,,,,,,,,
GLOBE TELECOM INC,3,9/30/22,0,2.25,-0.067316174,-0.104938272,20.826,29.3068,248282.992,-19.4565,10.1664,210.3268,907.7699,13.7243,52.3275,,,,,,,,,,
GLOBE TELECOM INC,4,12/29/22,0,2.12,0.143757174,0.073891626,23.4557,31.4403,269229.434,-17.8649,11.6938,221.3028,940.8987,15.8732,53.8086,,,,,,,,,,
GT CAPITAL HOLDINGS INC,4,12/29/16,0,3.11,-0.103423057,-0.118055556,9.802,16.0908,68229,-8.9887,6.2409,66.9216,550.5651,6.0627,32.9712,,,,,,,,,,
GT CAPITAL HOLDINGS INC,1,3/31/17,0,2.33,0.068864902,-0.098425197,-1.0875,14.0763,62774,0,0,61.322,583.0032,5.0902,32.6281,,,,,,,,,,
GT CAPITAL HOLDINGS INC,2,6/30/17,0,2.55,0.072683308,0.056768559,8.221,12.5692,57326,-7.4374,6.6021,59.2259,596.6149,6.7088,31.3365,,,,,,,,,,
GT CAPITAL HOLDINGS INC,3,9/29/17,0,2.34,0.041854304,-0.040495868,10.6686,11.6621,67780,-5.7389,6.7652,49.9613,667.9299,7.3249,28.4746,,,,,,,,,,
GT CAPITAL HOLDINGS INC,4,12/29/17,1,2.47,0.047358908,0.112833764,8.7334,11.3368,64082,0,0,49.6933,685.1164,6.1143,28.3069,,,,,,,,,,
GT CAPITAL HOLDINGS INC,1,3/28/18,0,2.4,-0.067604768,-0.095201238,5.7695,14.518,64974,0,0,50.3227,672.5749,5.0848,28.4071,,,,,,,,,,
GT CAPITAL HOLDINGS INC,2,6/29/18,0,2.07,-0.098517136,-0.221556886,8.7349,13.8373,64657,0,0,61.7204,784.5661,8.9137,32.9293,,,,,,,,,,
GT CAPITAL HOLDINGS INC,3,9/28/18,0,1.87,0.011557367,-0.098901099,7.0378,10.8618,114654,0,0,74.175,697.928,6.5438,36.9115,,,,,,,,,,
GT CAPITAL HOLDINGS INC,4,12/28/18,1,2.17,0.026000368,0.18902439,6.776,9.6778,115011,0,0,71.2526,730.1173,7.1408,35.9747,,,,,,,,,,
