Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.2175
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0976
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0712
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0074
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0244
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0113
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1455
0.01,32.88,30.52,-35.71,32.93,125.92,0.44,2.89,1.48,9.63,50.02,7.87,0.04,0.16,-0.0184
0,26.76,30.54,-78.43,36.66,134.74,0.44,2.88,1.86,3.93,52.11,6.84,0.01,0.16,-0.1166
0.02,22.13,27.7,-47.62,NA,117.5,0.49,2.52,2.18,10.03,48.97,6.13,0.02,0.21,-0.1706
0.01,22.64,26.23,39.29,NA,101.97,0.5,2.74,1.8,7.81,45.68,6.71,0.01,0.21,-0.0408
0.01,25.78,25.02,0,NA,100.64,0.49,2.63,1.88,8.45,45.25,6.25,0.04,0.22,-0.1489
0.01,24.34,25.42,278.27,NA,96.52,0.49,2.44,2.14,9.17,44.34,6.9,0.02,0.23,0.0676
0.02,26.67,27.13,-24.67,NA,97.99,0.47,2.31,1.84,13.25,44.55,7.57,0.02,0.2,-0.0509
0.02,24.81,27.92,154.62,NA,97.88,0.5,2.31,1.71,13.58,43.93,8.97,0.04,0.23,0.1475
0.02,29.71,29.5,133.33,NA,89.89,0.51,2.01,1.69,15.19,41.99,10.47,0.04,0.25,0.1661
0.02,26.31,30.64,111.28,NA,82.08,0.53,1.83,1.59,14.72,39.47,11.67,0.05,0.26,0.0302
0.02,22.63,30.13,-8.1,32.55,80.59,0.55,1.7,1.66,10.76,39.74,11.15,0.04,0.27,0.2195
0.02,22.09,28.33,-1.9,NA,74.65,0.57,1.67,1.54,14.17,37.13,11.4,0.03,0.29,-0.0545
0.02,29.05,26.37,-19.05,45.25,72.02,0.59,1.56,1.36,13.53,36.6,10.67,0.05,0.31,-0.023
0.04,27.52,24.27,54.74,28.4,69.55,0.6,1.56,1.46,14.81,35.49,9.87,0.01,0.32,0.0023
0.02,26.85,23.43,7.41,29.03,70.91,0.63,1.36,1.78,14.86,37.16,9.81,0.02,0.34,0.3182
0.02,32.51,24.24,12.95,NA,66.29,0.65,1.48,1.54,17.07,34.33,10.11,0.02,0.36,0.0084
0.02,31.77,24.78,35.29,24.73,63.57,0.64,1.31,1.73,17.4,34.22,10.58,0.08,0.35,-0.0119
0.04,21.12,24.06,14.29,24.75,63.76,0.64,1.19,1.51,10.94,33.59,10.19,0.04,0.36,0.1669
0.02,22.2,23.91,10.72,23.24,61.83,0.64,1.09,1.58,12.13,33.29,10.05,0.02,0.37,-0.0745
0.01,15.66,20.65,-43.53,25,58.4,0.65,1.25,1.46,7.99,31.55,8.79,-0.01,0.38,0.1243
0.02,21.28,19.29,-26.09,24.9,57.97,0.67,1.3,1.63,11,31.68,8.08,0,0.4,-0.2041
0.03,17.4,19.54,-17.5,41.27,58.02,0.65,1.08,1.63,8.47,30.93,8.13,0.06,0.4,-0.0634
0.02,20.19,21.15,0.21,47.99,59.41,0.61,1.11,1.71,9.05,31.9,8.39,0.01,0.38,-0.2143
26.89,20.51,43.51,-13.51,9.8,168.22,462.39,1.98,0.64,11.45,42.78,11.9,26.75,348.14,-0.1569
30.94,20.94,42.3,-6.79,9.64,189.41,469.54,2.21,0.64,12.84,46.82,10.65,-16.23,352.93,0.2777
35.25,18.71,42.3,81.09,NA,190.25,483.15,2.24,0.7,14.45,47.29,11.91,-0.57,371.18,-0.0648
14.41,19.13,42.41,-51.73,NA,197.62,479.12,2.22,0.73,5.97,47.35,10.14,11.52,368.94,-0.0409
33.59,23.48,45.68,24.92,NA,196.36,468.53,2.13,0.63,12.68,46.67,10.78,18.91,361.68,-0.1206
38.07,24.4,47.78,23.06,NA,198.67,485.38,2.06,0.61,14.1,47.87,10.67,11.88,385.68,-0.0787
34.61,23.3,49.81,-1.81,NA,192.53,501.48,1.94,0.65,12.97,47.66,10.41,36.09,403.61,0.0479
27.47,18.93,49.94,90.64,NA,202.73,527.47,1.94,0.86,9.73,49.51,10.8,-1.47,426.17,0.417
48.74,29.01,53.6,45.11,NA,184.29,555.3,1.83,0.87,16.57,47.79,12.15,56.74,457.39,-0.1624
38.24,24.65,53.27,0.44,NA,171.66,569.3,1.76,0.8,13,45.93,12.07,38.67,465.71,-0.0409
40.59,24.17,53.63,17.29,16.21,166.49,586.74,1.7,0.73,13.45,44.99,12.35,39.6,482.71,0.1573
32.79,19.99,53.95,19.39,NA,171.73,585.9,1.75,0.73,10.61,45.85,12.05,-13.93,471.02,-0.1634
47.56,27.99,51.2,-2.42,15.71,175.57,610.49,1.78,0.79,15.98,46.68,11.68,10.51,493.65,0.0991
35.16,22.44,48.32,-8.05,14.05,180.84,614.26,1.88,0.81,13.03,47.44,11.41,-10.19,499.69,0.2745
31.35,21.18,45.46,-22.76,13.44,194.32,622.89,1.85,1.1,10.76,48.84,10.48,53.87,499.26,-0.0941
18.87,9.77,40.73,-42.47,NA,204.48,595.64,2.2,0.8,6.62,49.83,9.72,-66.42,469.89,0.0601
52.83,21.01,35.7,11.07,12,197.27,633.22,2.41,0.76,17.05,49.14,9.8,-31.54,502.77,-0.2415
40.77,23.06,36.73,15.98,12.71,213.34,638.37,2.58,0.62,13.67,50.43,9.76,-63.31,502.56,0.0237
36.08,21.04,38.59,15.1,7.87,276.3,574.99,3.01,0.48,11.77,53.25,9.42,-61.1,431.01,-0.0925
40.72,11.16,33.24,115.83,7.23,201,827.03,2.81,0.56,13.59,50.15,9.96,-103.11,674.15,0.6143
100,18.81,30.07,89.29,9.22,193.55,899.94,3.04,0.57,31.33,49.96,11.57,-82.4,727.13,0.0889
39.01,20.83,29.31,-4.32,10.17,210.33,907.77,3.28,0.45,13.72,52.33,10.99,-58.22,725.86,-0.2467
49.87,23.46,31.44,38.22,11.69,221.3,940.9,3.48,0.68,15.87,53.81,10.89,-81.22,754.87,0.0384
15.16,8.22,12.57,21.98,6.6,59.23,596.61,3.72,2.76,6.71,31.34,9.44,32.34,530.38,-0.0147
20.45,10.67,11.66,173.41,6.77,49.96,667.93,4.16,2.7,7.32,28.47,8.72,-27.77,607.96,-0.1673
16.62,8.73,11.34,-0.49,NA,49.69,685.12,3.94,2.7,6.11,28.31,8.98,24.13,624.87,-0.0159
12.41,5.77,14.52,NA,NA,50.32,672.57,3.14,3.09,5.08,28.41,9.84,-10.92,612.13,-0.0824
16.68,8.73,13.84,9.97,NA,61.72,784.57,3.15,3.14,8.91,32.93,9.38,5.69,717.9,0.0654
15.81,7.04,10.86,-22.67,NA,74.18,697.93,6.29,1.88,6.54,36.91,8.3,-66.52,639.64,-0.0276
15.69,6.78,9.68,-21.12,NA,71.25,730.12,6.82,2.25,7.14,35.97,8.18,21.66,669.83,-0.1231
6.86,4.79,8.68,-47.68,NA,70.56,719.62,7.28,2.43,5.11,35.67,7.73,11.69,659.45,-0.1105
14.08,7.32,7.87,-21.21,NA,68.23,748.5,7.41,2.22,8.33,34.82,7.13,11.1,688.41,0.163
14.85,9.28,8.39,-6.08,NA,68.78,714.24,7.07,2.04,7.23,34.96,7.11,-17.08,658.68,-0.1055
35.97,9.7,9.14,54.95,7.79,68.31,811.27,6.31,1.95,14.5,34.89,8.62,-16.09,764.65,-0.0008
20.23,4.26,9.27,183.6,NA,65.64,818.69,6.05,2.13,9.35,34.74,9.76,-22.03,772.06,-0.0767
11.13,7.95,9.02,-15.29,16.62,67.4,815.01,5.65,2.25,7.1,34.72,9.33,41.59,768.42,0.0012
-0.45,-2.02,5.87,NA,10.11,73.94,836.82,9.69,2.02,1.71,37.7,7.5,-94.88,790.32,-0.2004
1.59,6.97,4,-92.17,8.17,70.76,831.02,12.37,1.77,1.56,36.05,5.03,26.19,784.63,-0.0506
15.42,6.56,4.34,-16.27,NA,74.67,845.78,11.92,1.76,7.33,37.28,4.14,-29.57,799.49,-0.094
18.23,7.82,4.51,63.79,7.23,67.94,856.84,10.26,2.15,9.97,35.23,4.77,33.87,810.66,0.2965
10.74,7.98,6.1,NA,8.65,67.92,881.89,7.94,2,7.06,34.92,5.61,1.63,835.75,-0.0101
8.58,5.81,6.07,439.47,10.27,68.98,893.06,8.38,2.32,5.36,35.59,6.11,-23.36,846.88,0.0916
10.77,1.84,4.85,-30.14,7.84,68.94,895.68,10.21,2.37,5.31,35.54,5.81,7.14,849.52,-0.1672
19.6,7.04,4.99,7.52,7.95,67.29,898.93,9.74,2.45,8.7,34.9,6.1,2.23,852.41,0.0344
16.95,5.12,4.79,57.86,8.73,66.94,899.88,9.62,2.31,7.5,34.47,6.51,23.78,853.26,0.0109
30.18,8.92,6.21,251.73,13.6,65.24,924.86,7.57,2.25,11.54,33.91,7.8,46.6,878.28,0.0314
0.02,36.37,24.2,42.86,11,76.66,0.83,2.06,1.31,17.41,33.7,9.55,-0.01,-0.01,0.0378
0.02,32.08,25.06,23.53,10.16,81.91,0.8,2.13,1.18,16.93,34.94,9.96,0.05,-0.04,0.1806
0.02,31.52,24.13,-22.73,NA,79.11,0.84,2.02,1.43,14.52,34.32,9.75,0.02,-0.01,0.0152
0.01,30.34,24.28,-18.76,NA,79.81,0.84,2.1,1.24,10.06,34.19,9.81,0.05,-0.05,0.0215
0.01,39.35,22.19,-35,NA,62.87,1.05,1.31,2.53,12.57,30.49,9.71,0.03,0.19,-0.033
0.02,36.76,24.66,-23.81,NA,59.89,1,1.4,1.68,14.67,28.59,10.82,0.04,0.07,0.0155
0.02,39.17,25.7,5.88,NA,58.17,1.02,1.28,1.67,15.31,28.07,11.48,0.05,0.09,-0.1285
0.02,37.63,30.34,115.82,NA,125.48,0.89,2.64,1.51,16.99,44.82,11.18,0.08,-0.09,0.2057
0.03,43.03,28.59,115.38,NA,135.7,0.9,3.04,1.19,18.87,47.67,10.92,0.06,-0.08,0.0367
0.02,39.14,33.27,25,NA,182.05,0.75,3.33,0.79,15.24,52.87,11.47,0.06,-0.25,0.2461
0.02,39.97,32.9,22.22,12.69,162.57,0.76,2.93,0.83,15.86,50.23,11.76,0.04,-0.24,0.1102
-0.05,38.46,36.61,NA,NA,174.47,0.74,3.15,0.72,-22.59,49.59,6.87,NA,-0.35,-0.15
0.02,41.63,37.69,-17.86,19.91,193.3,0.65,2.91,0.8,15.86,50.4,6.53,0.05,-0.41,0.0634
0.02,42.74,41.98,0,14.33,193.86,0.66,3.14,1.16,15.43,51.58,6.39,0.06,-0.39,-0.1
0.03,44.38,38.92,22.73,13.65,160.92,0.82,2.76,1.8,18.25,49.22,6.97,0.06,-0.22,0.2056
-0.05,43.04,41.06,0.27,NA,161.26,0.82,2.59,1.98,-20.12,48.46,6.97,0.09,-0.18,0.1255
0.04,47.28,50.71,56.52,13.87,180.49,0.71,2.3,1.35,20.68,47.71,8.08,0.07,-0.27,-0.0917
0.05,46.36,52.89,125,11.13,180.43,0.75,2.53,1.52,23.84,49.69,9.37,0.08,-0.27,0.0774
0.05,48.47,51.97,92.59,10.57,182.28,0.74,2.37,1.56,24.81,49.97,10.27,0.08,-0.27,0.2817
0.05,49.01,59.43,NA,11.17,227.13,0.65,2.44,1.81,22.44,54.79,14.45,0.06,-0.37,0.1838
0.07,51.99,77.03,80.56,10.86,294.56,0.51,2.45,0.74,26.93,55.48,16.38,0.1,-0.53,0.0012
0.07,50.26,77.14,57.78,14.97,290.41,0.55,2.58,0.69,28.47,58.63,16.77,0.03,-0.48,0.1127
0.08,51.95,79.12,53.85,20.02,245.5,0.61,2.32,0.84,29.59,55.56,17.62,0.11,-0.54,-0.036
1,17.12,17.09,-21.64,7.09,70.2,33.43,2.45,1.11,11.57,33,5.08,0.7,27.28,0.0115
0.95,16.72,16.25,-9.09,6.99,69.76,34.35,2.52,1.06,11.09,32.46,4.71,0.06,28.2,0.1336
0.88,12.17,15.85,19.48,NA,68.12,34.95,2.52,1.16,10.25,31.8,4.77,-0.65,28.81,-0.077
1.08,15.57,15.92,NA,NA,65.68,35.61,2.32,1.14,11.87,30.77,8.38,0.26,29.48,-0.116
0.64,13.3,14.59,-36.19,NA,64.07,36.17,2.46,1.03,7.18,30.28,7.71,-0.29,30.05,-0.0861
0.67,12.99,13.84,-30,NA,65.74,36.18,2.79,1.05,7.02,30.62,7.12,-0.19,30.06,-0.0628
0.66,11.96,13.76,-25,NA,64.58,36.93,2.73,0.97,7.12,29.9,6.85,-0.66,30.82,-0.1041
0.58,10.13,12.44,-46.08,NA,66.86,36.77,3.54,0.93,6.08,29.99,6.07,0.53,30.66,0.0674
0.86,13.76,12.55,34.33,NA,66.32,37.92,3.31,1.13,8.86,29.7,6.42,0.31,31.81,0.0064
1.46,15.28,13.15,118.57,NA,72.09,39.33,3.38,0.89,14.32,31.35,7.4,2.49,33.22,0.0791
0.49,11.15,12.75,-26.09,7.08,71.34,39.74,3.55,0.99,5.3,32.16,7.47,-2.31,33.64,0.0515
1.11,17.66,12.72,83.81,NA,71.97,40.52,3.36,0.96,23.49,31.68,8.58,-3.89,34.42,0.1033
0.26,11.04,11.53,-70,8.81,73.6,41.09,3.68,0.93,2.88,32.43,7.51,-1.11,34.98,0.1098
-0.35,-6.17,6.54,NA,3.98,76.59,40.86,4.66,0.97,-5.67,33.06,4.63,0.3,34.76,-0.0336
0.11,-0.91,3.79,-76.47,2.39,81.31,41.24,5.72,1,1.74,34.15,3.69,-1.01,35.1,0.0734
-0.07,-10.86,0.11,NA,NA,83.78,40.99,7.98,1.02,-1.74,34.21,-0.39,0.03,34.83,-0.0164
0.02,0.34,-2.2,NA,-1.4,83.69,40.64,9.26,1,0.2,34.55,0.49,-3.81,34.35,-0.0281
0.11,3.16,-0.74,NA,-0.39,87.51,40.62,9.52,0.96,1.55,35.35,-0.47,0.93,34.33,-0.0679
-0.45,-4.73,-1.28,NA,-0.76,74.25,42.98,9.07,1.09,-7.13,31.33,0.38,-2.44,42.3,-0.031
0.96,-3.16,-0.6,-167.22,-0.5,75.29,44.33,8.62,1.03,15.2,32.63,2.3,0.59,40.78,0.0385
-0.37,-1.14,-0.89,-3133.42,-0.63,77.37,44.04,8.42,0.87,-4.54,32.87,1.9,-1.78,40.49,-0.209
0.01,3.77,-0.46,-92.4,-0.41,83.68,43.22,9.15,0.79,0.05,34.78,2.11,0.02,39.63,0.1453
0.25,0.67,0.38,NA,0.41,86.95,42.98,8.74,0.84,2.82,35.39,3.32,-1.03,39.36,-0.06
1.43,6.24,19.45,9.1,3.09,32.95,33.28,-0.4,1.32,5.23,16.54,14,-0.55,24.77,-0.1112
1.81,6.14,19.8,17.22,3.08,31.67,33.95,-0.32,1.25,6.01,15.97,14.44,0.66,22.22,-0.0509
1.49,5.42,19.9,20.19,NA,29.61,35.61,-0.42,1.25,4.95,15.01,14.43,1.89,23.92,-0.0398
1.68,5.5,20.83,2.13,NA,37.85,37.53,-0.38,1.39,4.69,17.95,15.09,1.32,23.06,0.1532
1.66,5.66,19.96,16.13,NA,44.74,40.73,-0.44,1.61,5.17,21.14,14.38,0.49,26.06,-0.0097
2.07,5.94,20.35,14.36,NA,48.82,41.04,0.07,1.22,5.59,21.81,14.03,1.31,11.93,0.2494
1.87,4.67,19.6,25.3,NA,54.12,42.96,0.07,1.34,5.12,23.8,14.06,0.11,13.76,-0.0219
1.95,6.57,20.98,16.06,NA,136.53,43.56,2.02,1.07,4.59,44.44,10.97,1.1,14.63,-0.0344
1.34,5.2,19.99,-19.08,NA,55.7,45.48,0.31,1.31,3.62,26.04,13.32,-0.19,16.74,0.1094
0.95,3.49,18.01,-54.03,NA,53.41,45.72,0.3,1.26,2.38,24.71,11.96,3.77,16.63,0.0255
1.53,3.05,16.17,-18.22,3.3,90.38,47.4,0.98,0.78,3.88,34.33,10.21,2.59,1.38,-0.1209
2.86,2.94,12.83,46.17,NA,172.54,49.67,3.46,0.68,5.97,49.13,7.48,1.78,2.47,-0.1846
-1.53,-2.96,4.89,NA,2.76,88.82,73.11,2.54,1.14,-4.25,37.49,5.23,-3.34,27.79,-0.0317
-9.37,-23.27,-6.2,NA,-2.43,154.17,63.79,4.42,1.43,-44.08,48.98,-3.97,-4.36,18.72,-0.1883
-1.43,-11.17,-14.01,NA,-5.27,159.45,61.45,7.7,1.38,-5.27,49.99,-6.07,-1.46,16.58,0.1492
1.82,-7.83,-20.9,-36.13,NA,151.17,63.5,25.83,1.36,5.56,48.79,-6.32,1.94,17.36,0.091
0.14,4.28,-13.54,NA,-5.21,148.68,62.42,11.9,1.39,0.44,49.26,-4.78,0.82,17.22,0.1287
0.89,3.75,-4.78,NA,-1.41,143.34,62.7,4.19,1.37,2.66,47.69,1.4,3.27,17.52,0.0039
1.42,2.54,1.71,NA,0.43,126.74,38.08,3.43,1.33,4.22,45.02,3.97,1.07,-7.57,0.1363
2.84,5.48,9.44,55.69,2.62,130.05,58.52,2.9,1.43,7.29,45.76,5.4,3.7,12.15,-0.0477
1.98,4.64,10.01,1325.9,2.71,120.16,59.66,2.86,1.42,5.39,44.38,7.06,0.63,13.56,0.0312
2.31,5.86,12.32,161.02,3.74,120.2,60.81,2.54,1.33,5.36,43.37,8.14,4.28,14.25,0.0284
1.93,5.45,18.61,36.11,4.14,131.26,63.95,2.68,1.28,3.86,44.94,8.23,4.99,16.71,0.0504
0.21,9.12,4.71,0.44,3.64,24.27,12.65,-15.97,0.69,14.84,5.08,5.88,2.01,12.44,-0.0757
0.21,10.46,4.61,6.85,3.95,20.61,12.95,-18.77,0.7,14.13,4.22,5.7,1.42,12.73,0.2066
0.21,9.77,4.79,45.52,NA,13.92,13.29,-15.84,0.72,14.52,2.99,6.04,-3.04,13.07,-0.1551
0.37,14.2,4.9,86.19,NA,20.42,13.71,-13.39,0.62,24.1,4.35,6.59,-0.43,13.48,0.154
0.34,14.02,5.55,67.56,NA,15.34,13.97,-13.64,0.63,21.2,3.26,7.12,2.33,13.74,0.0186
0.49,6.1,5.03,139.64,NA,19.04,14.35,-11.67,0.62,28.98,4.05,8.73,-1.09,14.12,0.0708
0.33,12.25,5.43,57.66,NA,26.05,14.61,-10.31,0.62,19.09,5.42,9.1,-0.03,14.37,0.0602
0.34,6.2,4.45,-14.57,NA,35.18,15.98,-10.26,0.59,17.09,7.41,7.55,1.24,15.75,-0.2151
0.41,11.96,4.46,16.52,NA,45.59,16.6,-9.68,0.66,20.18,9.55,7.5,-0.44,16.34,0.1268
0.44,10.88,5.24,-12.57,NA,57.66,16.7,-8.07,0.57,20.49,11.59,6.53,1.8,16.45,-0.091
0.51,12.91,5.65,54.04,6.32,65.12,16.53,-6.74,0.67,23.3,12.36,6.71,1.78,16.27,-0.0658
0.78,17.95,7.08,147.09,NA,51.39,17.27,-4.72,0.6,33.3,10.31,8.02,0.85,17.04,-0.0553
0.57,8.35,6.77,39.57,13.61,42.08,16.79,-7.55,0.7,24.66,8.66,8.39,-3.65,16.53,-0.1453
0.35,0.78,5.44,-20.52,11.36,44.02,16.72,-10.75,0.73,17.33,9.15,7.46,5.7,16.47,0.0119
0.56,16.43,5.86,9.62,10.84,46.12,16.78,-6.54,0.69,26.59,10.08,7.29,-1.64,16.51,-0.2027
0.45,-15.52,1.21,-41.54,NA,63.39,17.14,-28.44,0.72,20.25,11.97,5.63,8.79,16.88,0.1803
0.6,9.97,1.28,4.42,1.61,45.49,17.3,-21.6,0.69,29.36,9.27,6.33,-4.84,17.06,0.2381
-0.25,-58.01,-5.9,NA,-7.6,44.35,16.51,NA,0.67,-12.5,8.95,2.99,-2.08,16.26,0.1281
0.57,13.96,-6.11,1.96,-10.23,44.51,17.05,NA,0.67,27.26,9.01,2.96,5.05,16.8,-0.1156
0.95,55.27,3.19,112.33,5.59,45.52,17.57,-19.79,0.7,42.51,9.14,5.28,3,17.32,-0.2245
0.6,16.92,3.97,0.42,7.82,33.18,17.76,-18.03,0.68,29.52,7.02,5.96,1.92,17.5,-0.0442
0.82,22.88,13.7,NA,29.35,29.25,18.22,-7.94,0.72,37.52,6.25,12.02,-0.85,17.98,-0.1123
0.46,0.96,11.91,-19.3,25.5,40.59,18.33,-5.8,0.66,19.59,8.81,10.78,-2.76,18.1,0.0556
4.27,9.11,35.84,5.96,8.27,57.5,61.16,-0.33,0.76,7.24,13.17,19.28,3.37,58.86,-0.0429
5.04,9.97,32.85,-8.7,8.58,53.56,66,-0.39,0.83,7.63,13.17,17.06,4.51,63.81,-0.0349
4.82,9.67,37.34,10.8,NA,56.14,62.74,-0.45,0.86,7.4,13.18,18.61,8.65,60.62,-0.1209
3.95,8.5,35.64,27.31,NA,54.08,65.31,-0.51,0.93,6.54,13.27,18.77,-0.67,63.28,0.0432
4.71,9.51,39.24,10.3,NA,57.19,61.17,-0.67,0.88,7.5,12.55,20.11,1.61,59.17,0.1137
5.91,8.71,35.55,17.26,NA,52.52,66.65,-0.63,0.92,8.35,12.31,19.95,12.1,64.76,0.0353
5.54,8.8,36.08,14.94,NA,52.95,66.34,-0.64,0.94,8.12,12.15,21.04,6.2,64.44,0.2167
4.26,10.37,36.55,7.83,NA,52.46,72.8,-0.69,1,6.24,12.93,20.09,5.5,70.94,-0.0555
5.03,9.1,39.4,6.79,NA,45.25,67.49,-0.63,0.8,7.52,10.34,22.29,5.79,65.82,0.0916
5.62,9.47,38.13,-4.91,NA,37.37,73.44,-0.4,0.81,7.07,9.25,21.09,2.05,71.83,-0.0609
5.6,9.97,39.19,1.08,7.42,37.19,73.7,-0.49,0.88,8.29,9.35,21.11,4.19,72.15,0.0085
4.4,10.76,37.58,3.31,NA,48.4,74.72,-0.75,0.92,6.43,11.55,19.36,10.21,73.16,-0.0163
2.32,4.02,36.19,-53.88,10.72,54.2,65.87,-1.17,0.87,3.74,10.9,18.76,11.45,64.3,-0.1479
3.75,5.81,28.39,-33.27,7.58,51.26,69.72,-0.27,0.9,5.85,10.75,16.39,-19.29,68.22,0.0289
3.91,8.84,26.97,-30.18,7.1,51.76,68.95,0.04,0.87,6.13,10.89,14.83,2.01,67.45,0.0245
4.49,12.47,25.68,2.01,NA,49.73,70.3,-0.64,0.9,8.29,10.29,13.91,16.33,68.32,0.0665
3.85,14.54,37.08,65.95,9,109.41,66.13,0.33,0.78,6.7,19.41,13.12,7.49,52.11,-0.14
4.98,8.56,38.57,32.8,9.8,100.41,71.14,0.55,0.82,6.65,19.36,13.68,13.12,52.19,0.0291
5.83,9.08,40.01,49.1,9.46,82.9,71.91,0.31,0.83,7.96,16.18,16.53,5.44,58.54,-0.0521
6.19,5.99,33.64,37.76,8.82,86.08,84.48,0.43,0.86,8.03,18.75,16.92,-7.95,71.09,0.0676
5.66,7.55,32.26,47.01,6.27,86.48,79.2,0.3,0.8,7.43,17.14,16.74,6.35,65.76,-0.0338
5.98,5.21,28.39,20.08,6.19,82.88,85.83,0.54,0.85,5.93,17.71,16.33,-2.15,72.79,0.2543
5.89,4.5,25.62,1.03,7.69,83.59,85.96,0.73,0.87,5.76,18.11,16.7,-3.6,73.09,0.1091
0.09,38.33,13.25,11.25,15.22,50.15,3.98,2.75,3.58,26.93,25,7,0.01,NA,-0.1402
0.11,45.98,13.51,9.71,12.37,48.08,4.05,3.03,2.66,34.29,24.6,7.16,-0.1,NA,-0.1221
0.11,41.88,13.25,13.13,NA,46.02,4.17,3.17,2.69,31.96,23.99,7.13,0.03,NA,0.1995
0.1,34.87,14.11,34.68,NA,46.37,4.38,2.88,3.25,20.87,26.7,7.49,-0.3,4.33,0.1744
0.1,41.37,14.7,16.85,NA,45.89,4.4,2.76,2.68,26.9,24.1,7.71,0.08,NA,-0.0608
0.12,41.31,14.4,7.96,NA,37.15,4.79,2.22,3.02,29.17,20.58,7.68,0.17,NA,-0.0235
0.13,41.75,14.67,13.39,NA,38.33,4.92,2.38,3.1,30.11,21.16,7.63,0.14,NA,0.0111
0.12,34.09,13.93,25.46,NA,40.53,5.08,2.51,3.69,26.87,23.74,7.24,-0.5,5.03,0.0164
0.12,40.16,14.1,16.35,NA,38.38,5.18,2.39,3.67,27.45,22.66,7.39,0.17,NA,0.0535
0.14,38.02,13.74,14.75,NA,36.57,5.24,2.25,3.45,28.64,21.5,7.67,0.15,NA,0.1602
0.14,38.06,13.55,11.02,16.14,37.03,5.35,2.21,3.64,29.14,21.76,7.72,0.2,NA,0.0418
0.16,34.64,13.61,29.34,NA,37.6,5.54,2.07,3.31,30.26,22.03,7.96,-0.21,5.49,-0.256
0.11,36.33,13.17,-9.09,28.8,38.16,5.64,2.08,3.33,24.36,22.16,7.66,0.09,NA,-0.0871
0.05,33.43,11.21,-62.86,20.27,36.02,5.68,2.25,3.16,23.57,21.13,6.75,0.14,NA,-0.0575
0.06,31.85,9.38,-55.32,17.5,42.1,5.59,2.39,3.05,24.03,23.77,5.6,0.18,NA,0.0534
0.08,24.62,6.97,-50.8,NA,40.79,5.73,2.95,2.9,29.21,23.08,4.41,-0.13,5.68,0.0258
0.07,33.1,5.97,-36.36,9.33,43.19,5.4,4.08,3.03,25.32,24.03,3.95,NA,NA,0.1609
0.08,34.19,6.55,61.54,11.49,41.07,5.49,3.71,3.34,23.56,23.17,4.42,NA,NA,-0.0249
0.1,34.77,7.68,60.32,15.31,42.06,5.6,3.52,3.34,23.36,23.59,4.84,NA,NA,-0.169
0.17,31.91,8.1,111.46,15.7,41.02,6.5,2.65,3.68,42.79,23.68,6.1,NA,6.45,-0.125
0.1,38.51,9.35,40,18.16,39.28,6.15,2.44,3.71,25.04,22.95,6.58,NA,NA,0.0809
0.09,39.27,9.98,5.95,27.37,38.89,6.26,2.53,2.92,21.13,22.74,7.06,NA,NA,-0.0557
0.08,37.74,10.09,-19.8,29.78,42.37,6.35,2.82,2.98,18.27,24.43,7.11,NA,NA,-0.1369
0.1,34.46,12.58,1.27,7.89,52.57,4.86,4.3,1.14,26.16,27.71,7.73,0.16,4.15,0.0414
0.15,41.2,12.54,2.69,8.78,77.7,5.01,6.61,1.41,38.2,35.41,6.44,0.15,3.47,-0.165
0.1,34.07,12.85,32.45,NA,79.93,5.07,5.65,1.46,17.41,35.84,6.78,0.39,3.56,-0.0112
0.06,45.72,12.52,-61.55,NA,87.67,5.11,6.08,1.37,23.3,37.54,7.01,0.12,4.16,0.0066
0.12,33.22,13.99,26.94,NA,84.68,5.16,5.45,1.24,19.69,36.49,7.7,0.18,4.21,-0.025
0.16,35.6,14.89,6.42,NA,85.08,5.32,5.24,1.31,24.77,37.41,7.19,0.26,4.37,-0.1674
0.11,29.52,14.58,7.25,NA,88.43,5.39,5.57,1.42,16.67,38.25,7.09,0.29,4.3,-0.0236
0.05,7.61,12.84,NA,NA,90,5.5,6.19,1.41,9.08,38.55,6.71,0.05,4.49,0.021
0.11,35.43,12.59,79.18,NA,89.97,5.51,6.37,1.37,20.37,38.41,6.86,0.23,4.5,-0.0492
0.14,39.15,12.43,-14.03,NA,92.01,5.64,6.65,1.3,23.32,39.59,6.46,0.34,4.66,-0.0156
0.12,37.34,12.45,-3.73,13.91,98.26,5.72,6.7,1.32,20.84,40.87,6.19,0.35,4.73,-0.0202
0.38,NA,10.99,-2294.41,NA,101.98,6.05,6.68,1.4,NA,41.01,7.29,0.19,5.45,0.0651
