Earnings per Share,Operating Margins,ROE,EPS Growth,Earnings Yield,Debt to Equity,Book Value Per Share,Net Debt to EBITDA,Current Ratio,Profit Margin,Total Debt to Total Asset,Return on Capital,FCF to Basic Share,Tangible Book value per Share,Performance
0.36,23.72,19.35,1.99,NA,65.06,16.58,3.06,2.65,10.82,31.54,6.18,0.01,12.27,-0.0499
0.42,23.89,19.72,36.31,NA,59.43,16.87,2.82,2.82,12.03,29.89,6.18,-1.06,12.59,-0.1074
0.42,21.68,19.73,24.22,NA,61.54,17.33,3.09,2.78,11.7,30.59,6.36,-0.56,13.02,-0.0212
0.32,13.44,18.08,-35.53,NA,66.84,17.37,3.65,2.95,6.55,33.02,5.71,0.29,13.13,0.0624
0.44,21.54,18.1,22.96,NA,64.73,17.63,3.56,3.06,11.03,32.31,5.88,0.03,13.43,-0.0725
0.38,22.05,18.23,-10.13,NA,64.58,17.81,3.51,2.9,9.16,32.21,5.75,-0.26,13.7,0.2971
0.48,22.29,18.7,13.49,31.36,69.11,18.45,3.52,2.98,10.97,33.56,5.77,0.13,14.33,-0.0545
0.53,14.75,19.72,64.85,NA,74.48,18.26,3.56,2.3,9.58,34.33,6.35,1.46,14.19,-0.2664
0.31,18.43,18.46,-30.74,49,74.17,18.5,3.62,2.31,7.96,34.34,5.81,0.28,14.57,0.065
0.09,9.25,14.5,-77.3,40.01,72.5,18.56,4.24,2.23,3.7,33.5,4.71,0.04,14.65,-0.0823
0.21,14.62,11.35,-56.49,31.08,80,18.5,4.78,2.29,7.15,35.21,3.67,0.65,14.54,-0.1924
0.32,8.41,8.91,-39.63,NA,78.75,17.85,5.69,2.03,8.26,34.85,2.86,0.46,14.01,0.0847
0.27,18.05,8.09,-11.73,14.67,77.06,19.24,5.98,2.19,8.31,34.43,2.71,-0.2,15.12,0.2968
0.63,23.49,11,624.96,21.3,73.94,19.85,4.8,2.36,17.96,34.03,4.61,0.07,15.69,0.1014
0.37,17.52,12.13,77.08,23.41,73.81,20.35,4.54,2.27,9.56,33.94,4.99,0.11,16.15,-0.1163
0.56,12.3,12.67,74.52,22.61,69.63,20.44,3.82,2.04,11.83,33.16,5.45,0.98,16.5,0.0064
0.42,20.91,13.46,54.95,23.16,67.96,22.63,3.63,2.03,10.68,32.67,5.83,0.33,18.34,0.1212
0.47,23.27,14.29,-25.36,35.96,66.07,23.01,3.49,2.15,10.04,31.99,5.38,0.12,18.75,0.0497
0.4,20.75,15.34,7.04,42.11,68.09,23.39,3.47,2.26,8.33,32.72,5.41,-0.13,19.08,-0.1516
10.65,23.53,23.73,20.89,10.23,82.27,372.29,3.77,1.24,12.81,33.29,8.7,6.55,353.54,-0.0442
12.57,26.43,24.42,1.62,10.78,80.19,381.6,3.73,1.33,14.37,32.87,8.65,-13.18,358.48,0.0878
12.64,28.05,26.14,41.23,NA,87.08,394.93,3.6,1.4,13.67,34.71,8.62,10.89,371.25,-0.0668
10.8,-5.19,17.6,-33.49,NA,85.29,401.02,5.1,1.39,12.76,34.32,8.46,-30.54,374.13,0.0993
11.81,27.41,19.17,10.89,NA,88.75,407.52,5.07,1.27,11.96,35.32,8.31,4.5,379.42,-0.001
13.01,25.07,19.79,3.5,NA,92.99,417.52,5.24,1.23,11.93,36.73,8.36,4.73,390.4,0.0016
11.87,20.74,17.6,-6.09,NA,90,445.08,5.44,1.31,11.61,36.25,8.01,1.19,419.02,0.069
12.23,-10.22,16.34,10.5,NA,87.88,449.41,5.9,1.25,14.41,34.41,8.36,-10.19,423.16,-0.0029
12.23,20.43,13.99,-4.4,NA,89.01,472.5,6.54,1.39,13.04,34.81,8.12,-3.64,439.14,-0.0562
46.83,53.77,19.08,250.88,NA,86.22,525.4,5.08,1.5,45.1,35.5,10.13,-43.39,498.75,-0.0165
12.73,18.82,17.66,7.22,10.09,77.48,532.97,4.83,1.43,13.05,32.65,10.33,-30.66,506.38,-0.0588
